year,fips,state_fips,county_fips,total_workers,drove_alone,carpooled,public_transit,bus,subway,bicycle,walked,worked_from_home,total_households_vehicles,no_vehicle,one_vehicle,two_vehicles,three_vehicles,four_plus_vehicles
2014,01069,01,069,41879,36705,3523,150,150,0,0,248,996,38825,2674,13810,15144,5100,2097
2014,01073,01,073,289184,246137,26068,2020,1874,0,702,4254,6449,261980,18708,100407,93780,32584,16501
2014,01089,01,089,165653,143817,11484,441,441,0,285,1666,5914,140771,7232,45170,55476,23733,9160
2014,01097,01,097,169106,147405,11050,874,874,0,193,1620,6356,153450,8853,55359,57927,22749,8562
2014,01101,01,101,99864,82203,10219,1088,1088,0,204,1229,3947,89415,8194,34394,29677,12198,4952
2014,02020,02,020,159015,123329,16448,1981,1938,0,2042,6026,5066,104683,5022,33419,45648,13831,6763
2014,02090,02,090,50873,39009,8053,627,627,0,235,1172,1078,35692,954,10926,14816,5315,3681
2014,02170,02,170,40671,29459,4743,341,341,0,102,890,2316,30766,852,7857,11475,7461,3121
2014,04005,04,005,63568,45048,5148,1303,1135,108,2101,6276,2695,46919,2639,14726,18809,7066,3679
2014,04013,04,013,1831453,1409421,189999,40706,37328,1175,16915,26882,113801,1458064,99038,551925,562245,178559,66297
2014,04015,04,015,65453,52640,8313,548,548,0,306,1484,1358,81292,4549,29016,29335,12423,5969
2014,04019,04,019,426476,328228,38770,12430,11705,473,8813,10450,19282,389737,33902,150131,141747,45507,18450
2014,04021,04,021,140176,109409,17569,208,208,0,693,1996,7370,132176,5524,50161,52240,17323,6928
2014,04025,04,025,76738,56751,9729,315,315,0,561,2333,6277,90584,3998,32467,35430,13972,4717
2014,04027,04,027,76267,59676,9089,1138,1138,0,702,2217,2554,70593,4768,25179,28219,8073,4354
2014,05007,05,007,110165,92611,10046,34,34,0,279,1622,4536,86232,2073,26218,38294,14097,5550
2014,05119,05,119,180395,151081,17413,1790,1790,0,300,2060,6263,152045,11310,59327,57237,18302,5869
2014,05143,05,143,106104,85689,11811,511,446,0,1057,2774,3481,81600,4234,30329,30347,10795,5895
2014,06001,06,001,734290,465647,67714,102872,30819,496,16711,27536,41092,563601,55879,182326,207533,78880,38983
2014,06007,06,007,89288,65568,8819,1248,1176,0,2444,3598,5957,85366,6678,29689,31368,12839,4792
2014,06013,06,013,503935,339698,56742,55013,9722,754,2203,10234,33353,387936,23825,108321,149813,68941,37036
2014,06017,06,017,77023,59600,7420,1434,1353,0,368,1452,5755,65804,2108,14712,28379,13028,7577
2014,06019,06,019,365305,281902,46039,4500,4325,0,3369,7092,15082,297993,27439,99783,109557,42785,18429
2014,06023,06,023,57046,41857,4736,1048,858,182,1048,3766,3985,53195,4770,19420,18023,7807,3175
2014,06025,06,025,56781,46747,5565,503,503,0,241,995,1960,43635,3165,13672,15669,7614,3515
2014,06029,06,029,320353,250879,41951,3429,3342,0,1898,3700,9563,261135,17583,82497,101939,42322,16794
2014,06031,06,031,53146,40301,7286,232,137,0,212,1322,2729,41596,3424,13279,15174,6897,2822
2014,06037,06,037,4623817,3382298,449214,318161,273746,2200,46708,124409,236665,3269112,315640,1138391,1145598,444281,225202
2014,06041,06,041,131801,87599,11493,13679,8133,0,1748,3798,12693,103509,5888,36221,40939,14507,5954
2014,06047,06,047,97827,75591,13693,381,333,0,431,1586,2659,79255,5986,23478,30328,14602,4861
2014,06053,06,053,177439,124873,19443,3109,3046,0,1308,6135,7210,123920,5888,39675,47998,20745,9614
2014,06055,06,055,68152,52862,7514,1020,770,0,338,2351,3662,50516,2623,13821,19084,9797,5191
2014,06059,06,059,1508967,1192525,145833,34750,29621,84,13525,28562,77503,1018862,44200,285317,425292,172644,91409
2014,06061,06,061,163806,128796,15940,2248,1886,0,597,2358,11882,136239,4961,39556,57188,25513,9021
2014,06065,06,065,920576,707076,124507,14670,11514,0,3461,15358,45110,700584,34269,211307,276972,114483,63553
2014,06067,06,067,630381,486785,66047,18954,12502,2299,7151,11648,31701,523353,43486,180568,195769,69573,33957
2014,06071,06,071,830823,648768,107971,12979,9692,180,2113,15258,37143,617066,36108,188923,228000,104826,59209
2014,06073,06,073,1547124,1176575,133824,41997,35003,3172,12093,45126,116240,1100858,63093,346009,443158,168901,79697
2014,06075,06,075,480997,164564,34132,163484,106839,10912,21068,53875,33586,353406,110617,140649,75807,20806,5527
2014,06077,06,077,280690,214511,43240,3915,1968,135,1488,5408,8734,221874,15704,67444,81203,40390,17133
2014,06079,06,079,123501,94253,12364,1275,1130,0,2316,5597,6890,102645,5384,30163,38620,18658,9820
2014,06081,06,081,389869,268889,40841,39239,12830,338,6780,9550,19231,257473,14547,76117,105267,39829,21713
2014,06083,06,083,200785,138598,24102,7276,7176,0,7412,9592,11283,142912,8531,45988,53691,23713,10989
2014,06085,06,085,929992,707763,96167,37734,22105,766,15748,16302,44945,622068,32404,173055,257140,103551,55918
2014,06087,06,087,129121,87894,10537,3751,3492,0,6135,5631,10211,96127,5374,28764,36626,15722,9641
2014,06089,06,089,70250,58064,5763,433,245,188,416,1357,3319,68542,4981,23292,25486,9768,5015
2014,06095,06,095,189398,143560,26347,5490,2562,92,516,2554,8877,145313,7721,40526,56043,27226,13797
2014,06097,06,097,243552,182963,24997,5198,4764,85,2373,9285,16584,190875,10371,58369,72776,32701,16658
2014,06099,06,099,204710,165647,22120,1095,822,0,1181,4084,8559,169038,11405,50090,64760,29330,13453
2014,06101,06,101,37955,30508,3934,274,274,0,374,490,1798,31634,1571,9070,12776,5987,2230
2014,06107,06,107,170091,128701,28184,552,552,0,1135,3714,5273,132742,8384,38611,53918,21947,9882
2014,06111,06,111,392324,304592,46332,6388,4573,86,2530,6360,21866,269869,12207,70162,110475,49476,27549
2014,06113,06,113,91721,60848,9202,3408,2935,0,9180,4003,3670,72228,4082,25792,27499,9790,5065
2014,08001,08,001,235192,181760,29552,9822,9524,71,811,3119,8758,159422,8816,48475,61799,25727,14605
2014,08005,08,005,317888,251619,27243,13811,9253,603,1392,3867,17758,232763,12174,75091,96821,35257,13420
2014,08013,08,013,163978,109488,13432,8204,8010,0,6574,7177,17550,123690,6551,40838,50759,16671,8871
2014,08031,08,031,355282,248991,31848,26183,21607,531,8848,14685,21675,281928,31950,112010,100607,27864,9497
2014,08035,08,035,163487,128407,10307,3770,1141,0,410,2130,16755,108135,2219,21990,54781,19594,9551
2014,08041,08,041,316876,249597,31045,2210,2127,0,1880,9068,18567,245158,11799,72593,105066,39319,16381
2014,08059,08,059,300167,236512,22417,10313,7332,173,1469,4140,22986,224502,9079,65463,91431,40529,18000
2014,08069,08,069,163266,124784,15499,2034,2034,0,6170,3109,10740,125165,5385,36912,50153,22882,9833
2014,08077,08,077,68335,52567,6601,375,375,0,851,2846,3626,59703,2974,20446,21183,9799,5301
2014,08101,08,101,64562,52300,7663,781,714,0,849,1333,1255,63385,5586,21070,20944,10377,5408
2014,08123,08,123,134762,105514,16425,714,684,0,496,4273,6121,96803,4128,24082,38495,18969,11129
2014,09001,09,001,460606,332102,35488,46640,12985,0,1670,12817,27873,338421,26076,107902,129248,52593,22602
2014,09003,09,003,434674,354927,34095,13517,12981,52,1139,9886,16993,346525,37199,119787,130639,42239,16661
2014,09005,09,005,94319,78904,6660,871,414,0,143,1561,5527,73572,4167,20017,30484,13231,5673
2014,09007,09,007,88935,72633,6890,981,670,0,106,2283,4680,67106,3731,21066,25387,11418,5504
2014,09009,09,009,410655,321870,32621,18038,12747,0,2140,17121,15830,326050,38762,117832,110504,41998,16954
