year,fips,state_fips,county_fips,total_population,male_population,female_population,median_age,white_alone,black_alone,native_alone,asian_alone,pacific_islander_alone,other_race_alone,two_or_more_races,hispanic_or_latino,male_under_5,male_5_to_9,male_10_to_14,male_15_to_17,male_65_to_66,male_67_to_69,male_70_to_74,male_75_to_79,male_80_to_84,male_85_and_over
2014,49005,49,005,118343,59320,59023,25.2,106227,223,781,3289,440,5288,2095,12386,5957,5463,4830,2845,769,959,1059,848,527,581
2014,49011,49,011,329692,166412,163280,30.4,297761,4817,1135,6695,1166,7808,10310,29853,15046,16420,17468,8914,1852,3234,3370,2641,1541,1118
2014,49035,49,035,1091742,548964,542778,32.2,884711,18547,8131,41693,17709,89514,31437,194292,44791,43430,45844,25161,8243,8853,12390,6933,5424,5369
2014,49049,49,049,560974,283080,277894,24.5,517815,3712,2618,7609,3643,9887,15690,62910,29608,29185,27363,14607,2398,3834,4695,2960,2578,1692
2014,49053,49,053,151948,74655,77293,35.1,140986,1370,1738,1041,1488,3228,2097,15165,5834,6647,6042,3457,2054,1848,3864,2377,2197,2059
2014,49057,49,057,240475,120261,120214,32.4,213902,2035,2017,2990,688,10797,8046,42581,9485,9434,11217,5638,2601,1804,3059,2096,1262,1226
2014,50007,50,007,160531,78915,81616,36.3,146944,3356,445,5446,94,618,3628,3536,4973,4248,4190,2590,1686,1852,2197,1218,1157,1041
2014,51003,51,003,104489,49891,54598,38.4,84611,9344,874,5091,31,1905,2633,5914,2708,2992,3819,1831,1730,826,1791,1295,718,1246
2014,51013,51,013,226908,113432,113476,34.0,165090,18950,156,23472,374,11740,7126,35648,7055,5728,4665,2298,1459,2415,1925,1554,675,788
2014,51015,51,015,73862,37292,36570,44.6,68437,3062,206,203,0,665,1289,1825,1563,2383,2081,1414,757,1923,1543,1313,828,305
2014,51019,51,019,76583,37660,38923,45.7,,,,,,,,1564,1811,2374,2015,1662,998,1666,1647,1176,972,366
2014,51041,51,041,332499,160461,172038,38.3,228943,75338,1011,12023,91,4869,10224,26484,9739,12749,11543,7846,3314,4165,5387,2500,1809,1734
2014,51059,51,059,1137538,563404,574134,37.6,719311,109577,2706,213925,578,42128,49313,186402,39058,40059,36627,23199,10948,13241,14438,9741,5409,5755
