year,fips,state_fips,county_fips,median_household_income,aggregate_household_income,hh_income_universe,hh_income_under_10k,hh_income_10k_to_15k,hh_income_15k_to_20k,hh_income_20k_to_25k,hh_income_25k_to_30k,hh_income_30k_to_35k,hh_income_35k_to_40k,hh_income_40k_to_45k,hh_income_45k_to_50k,hh_income_50k_to_60k,hh_income_60k_to_75k,hh_income_75k_to_100k,hh_income_100k_to_125k,hh_income_125k_to_150k,hh_income_150k_to_200k,hh_income_200k_plus,per_capita_income,gini_index
2014,01003,01,003,48461,4707160400,71307,4912,4366,4771,4110,4132,3012,4406,3456,3523,5546,8629,7111,4573,3373,2545,2842,26721,0.4648
2014,01015,01,015,41428,2436055100,46087,5796,3878,2626,2535,2620,2671,1995,2460,2184,4350,4653,3866,3168,1389,1086,810,21750,0.4561
2014,01043,01,043,38261,1569135700,30424,2431,1897,3059,2250,2849,1840,1595,1968,1584,2670,2423,2232,1703,606,740,577,20304,0.4533
2014,01049,01,049,35023,1212654800,24720,3301,1972,1513,2653,1859,1058,940,975,826,2549,2333,2291,932,524,702,292,18216,0.4754
2014,01051,01,051,55530,1841540800,28352,1914,1383,1959,1492,1452,1026,1402,1006,1469,2339,2757,4946,2452,1321,611,823,23697,0.4160
2014,01055,01,055,40529,2059670800,39714,3246,3944,2617,3997,1558,1609,2629,1919,1717,3432,4885,3213,2565,1017,873,493,20810,0.4374
2014,01069,01,069,39543,2168337300,38825,3953,3243,2996,2330,2210,2229,2600,1981,1815,2993,3514,3640,2177,1175,1059,910,22233,0.4812
2014,01073,01,073,44646,16671599700,261980,25309,16535,18116,15856,17080,14160,12163,12472,10688,19483,25694,28207,16845,9982,10270,9120,26035,0.4893
2014,01077,01,077,40309,2136453600,38093,3962,2782,3103,2895,2178,1912,2063,1682,2169,3516,3229,3534,2620,993,606,849,23811,0.4888
2014,01081,01,081,39932,3678438500,57880,8582,4931,2365,3575,3361,2607,3551,2973,2109,3942,4200,5684,3163,1849,2678,2310,25204,0.5434
2014,01083,01,083,49672,2244996400,31638,1802,1973,2335,1597,1914,1887,1150,1678,1568,2100,2494,4646,1999,1728,1813,954,25750,0.4776
2014,01089,01,089,58339,11112789600,140771,11310,7835,5981,5741,6069,8216,6017,5797,4870,9656,13216,17692,12041,9263,9331,7736,32458,0.4736
2014,01095,01,095,33446,1790419400,34872,3125,3373,2449,4273,2261,2522,1746,1887,954,2170,2521,3183,2156,781,977,494,19923,0.4824
2014,01097,01,097,43642,9060739800,153450,14788,9229,11152,10903,9290,8217,8011,6692,7667,11864,13658,16462,11161,6053,4935,3368,22854,0.4631
2014,01101,01,101,43346,5344633400,89415,9049,6373,5860,4709,6286,5248,4200,3898,3893,7493,7254,9368,6308,3609,3527,2340,24390,0.4660
2014,01103,01,103,44708,2585995500,45016,3561,2596,2786,2904,2638,2666,2280,3257,2397,3067,5191,4498,3930,1360,1031,854,23168,0.4291
2014,01115,01,115,50146,1905540400,32267,2719,1729,2007,1566,1496,2072,1302,1241,1928,2894,4586,4178,1791,1209,1314,235,22200,0.4151
2014,01117,01,117,67754,6434381000,75714,3251,2768,2834,4703,3249,3800,2184,3689,3182,5795,6020,11407,7523,5271,5872,4166,32038,0.4405
2014,01121,01,121,39971,1457721500,30649,3500,2997,1544,2379,1670,1576,1669,1609,2133,2774,2742,3197,1356,983,326,194,19029,0.4257
2014,01125,01,125,47531,4304746700,68320,7021,3821,4035,4287,3791,3049,3158,3205,3060,5108,7524,8631,4186,3519,1999,1926,22995,0.4674
2014,01127,01,127,35495,1228718000,25211,2224,2431,3002,1974,1549,1313,1245,1272,1132,2091,2373,2222,945,603,292,543,19335,0.4616
2014,02020,02,020,76337,10155751100,104683,3148,2661,3019,3730,3433,3633,3872,4389,2973,8208,12296,14421,13149,8962,8477,8312,35442,0.4174
2014,02090,02,090,69820,3162956500,35692,1051,1111,696,1657,1878,1147,1513,1949,2297,2309,3623,5162,3505,1984,3473,2337,33599,0.4183
2014,02170,02,170,73831,2665411600,30766,1255,1383,1030,1245,831,1128,1152,1215,940,1829,3714,4176,3914,2843,2710,1401,30729,0.3956
2014,04001,04,001,33076,837827200,18766,3701,1548,1453,982,1206,840,785,803,728,1697,1688,1379,953,451,394,158,13466,0.4930
2014,04003,04,003,45688,2782106500,47653,4501,4061,2555,2407,2964,2517,2149,2173,2516,4662,4209,4396,3255,2145,1803,1340,23507,0.4514
2014,04005,04,005,49757,3213156900,46919,4293,2275,2540,2529,3102,2480,1945,1886,2526,3346,3903,5036,4682,2286,2062,2028,23867,0.4619
2014,04013,04,013,53896,107897917900,1458064,102716,67952,71947,74752,69568,78606,70617,73759,62628,122771,148319,176571,124800,70175,70617,72266,27645,0.4663
2014,04015,04,015,37674,3920225800,81292,7280,5779,5470,5762,7430,6370,4854,5305,4335,7995,6374,7309,3037,1831,1313,848,20450,0.4257
2014,04017,04,017,34600,1488089100,33236,5771,2780,2473,2083,1839,1765,1663,1582,1297,2696,3198,3501,1094,554,545,395,15074,0.4650
2014,04019,04,019,45856,24996086200,389737,30749,25652,23647,24670,22263,24044,19897,20781,16962,30210,39540,44083,25464,14327,13860,13588,25738,0.4745
2014,04021,04,021,49867,7977722400,132176,11924,6175,6033,6846,7637,7647,6690,7256,6029,12571,17176,17068,9442,4654,2215,2813,21210,0.4275
2014,04025,04,025,44255,5436713600,90584,5658,6599,5814,5462,5691,5295,5668,6033,4672,7982,9988,8667,5426,2649,2245,2735,26018,0.4538
2014,04027,04,027,40008,3840414900,70593,6185,4694,5170,6106,4101,4920,4113,4046,3628,5522,6421,7444,3534,1417,2014,1278,19235,0.4592
2014,05007,05,007,56981,6612097700,86232,3791,4482,3770,4434,4121,4315,4498,4298,4246,6626,8825,11325,8880,4009,4360,4252,27846,0.4447
2014,05031,05,031,42691,2316971700,38548,3993,2562,2741,2412,2550,1790,1827,2496,2627,2994,3614,3316,1755,957,1165,1749,23611,0.4980
2014,05045,05,045,51650,2810618300,42782,3846,1865,1589,2488,2487,2130,2130,2650,1558,3367,5703,5272,3524,1706,1462,1005,24324,0.4454
2014,05051,05,051,41032,2246203900,39045,4117,3297,2797,2525,2167,2419,1625,2023,1881,3580,3324,4016,2355,1269,582,1068,24118,0.4894
2014,05069,05,069,32433,1416859000,28494,3450,2627,2747,2391,1865,1514,2133,1086,834,2196,1705,2692,1575,596,663,420,20470,0.4907
