year,county_fips,population,poverty_count,poverty_total
2022,01001,58761,6630,58291
2022,01003,233420,23445,229539
2022,01005,24877,5280,21851
2022,01007,22251,4297,20836
2022,01009,59077,8277,58399
2022,01011,10328,2687,9616
2022,01013,18981,3937,18652
2022,01015,116162,20267,112350
2022,01017,34612,6080,34008
2022,01019,25069,3516,24658
2022,01021,45140,6422,44441
2022,01023,12669,2388,12475
2022,01025,23058,5073,22687
2022,01027,14209,2440,13887
2022,01029,15144,1931,14978
2022,01031,53559,8592,52713
2022,01033,57270,8998,56667
2022,01035,11576,2122,11514
2022,01037,10329,1102,9969
2022,01039,37542,6921,36847
2022,01041,13205,1916,12895
2022,01043,88284,11364,87201
2022,01045,49455,8469,48342
2022,01047,38326,10230,37774
2022,01049,71680,14251,70473
2022,01051,87694,7986,83185
2022,01053,36755,7449,34154
2022,01055,103348,16146,101767
2022,01057,16297,3543,15973
2022,01059,32011,5246,31558
2022,01061,26647,5480,26306
2022,01063,7706,2504,7612
2022,01065,14742,3613,14448
2022,01067,17282,2608,16807
2022,01069,107040,18878,105841
2022,01071,52618,9680,52008
2022,01073,672265,103894,654506
2022,01075,13885,2107,13736
2022,01077,94329,12188,91894
2022,01079,33116,5182,32725
2022,01081,175126,31003,167593
2022,01083,104199,11287,100831
2022,01085,10153,2552,9997
2022,01087,19198,4127,16499
2022,01089,389781,40440,378398
2022,01091,19180,4063,18939
2022,01093,29203,4707,28621
2022,01095,97923,15992,96335
2022,01097,413878,71353,406199
2022,01099,19816,4472,19562
2022,01101,228132,42877,219231
2022,01103,123102,16579,120811
2022,01105,8479,2478,7547
2022,01107,18925,3864,17301
2022,01109,32997,7242,30639
2022,01111,22179,4277,21539
2022,01113,58849,12816,58181
2022,01115,91719,9786,89634
2022,01117,223916,15080,220029
2022,01119,12196,3285,10815
2022,01121,81105,14436,77226
2022,01123,41251,6826,40523
2022,01125,231558,36412,218123
2022,01127,64978,10437,63595
2022,01129,15434,2415,15282
2022,01131,10441,2735,10219
2022,01133,23655,4217,23175
2022,02013,3407,429,3395
2022,02016,5219,478,4987
2022,02020,290674,27415,284386
2022,02050,18538,4586,18158
2022,02060,854,66,837
2022,02063,7000,339,6871
2022,02066,2614,289,2570
2022,02068,2101,150,2052
2022,02070,4854,765,4814
2022,02090,96299,6356,92321
2022,02100,2079,121,2071
2022,02105,2329,269,2329
2022,02110,32108,2176,31517
2022,02122,59235,7265,57908
2022,02130,13910,1329,13735
2022,02150,13065,1027,12777
2022,02158,8372,2836,8278
2022,02164,999,151,995
2022,02170,108661,10810,105794
2022,02180,10018,2041,9654
2022,02185,10924,857,10793
2022,02188,7682,1405,7604
2022,02195,3374,153,3325
2022,02198,5799,879,5742
2022,02220,8462,571,8278
2022,02230,1303,81,1303
2022,02240,6888,898,6820
2022,02275,2134,213,2110
