year,county_fips,unemployment_rate
2024,01001,2.8
2024,01001,2.9
2024,01001,2.8
2024,01001,2.8
2024,01001,3.1
2024,01001,3
2024,01001,2.9
2024,01001,2.1
2024,01001,2
2024,01001,2.4
2024,01001,2.7
2024,01001,2.6
2023,01001,2.1
2023,01001,2.1
2023,01001,2.2
2023,01001,2.3
2023,01001,2.4
2023,01001,2.3
2023,01001,2.4
2023,01001,1.8
2023,01001,1.6
2023,01001,1.9
2023,01001,2.2
2023,01001,2.3
2022,01001,1.8
2022,01001,1.9
2022,01001,2.1
2022,01001,2.1
2022,01001,2.5
2022,01001,2.5
2022,01001,2.7
2022,01001,1.9
2022,01001,1.7
2022,01001,2.1
2022,01001,2.4
2022,01001,2.6
2024,01003,3
2024,01003,2.9
2024,01003,2.8
2024,01003,2.8
2024,01003,3.1
2024,01003,2.9
2024,01003,2.8
2024,01003,2.1
2024,01003,2.1
2024,01003,2.5
2024,01003,2.9
2024,01003,2.9
2023,01003,2.3
2023,01003,2.2
2023,01003,2.2
2023,01003,2.3
2023,01003,2.4
2023,01003,2.2
2023,01003,2.3
2023,01003,1.7
2023,01003,1.6
2023,01003,1.9
2023,01003,2.3
2023,01003,2.4
2022,01003,1.8
2022,01003,1.9
2022,01003,2
2022,01003,2.1
2022,01003,2.4
2022,01003,2.3
2022,01003,2.6
2022,01003,1.9
2022,01003,1.8
2022,01003,2.1
2022,01003,2.5
2022,01003,2.7
2024,01005,4.2
2024,01005,4.6
2024,01005,4.2
2024,01005,4.3
2024,01005,4.6
2024,01005,4.4
2024,01005,4.5
2024,01005,3.3
2024,01005,3.3
2024,01005,4.2
2024,01005,5.1
2024,01005,4.7
2023,01005,4
2023,01005,3.8
2023,01005,4
2023,01005,3.9
2023,01005,4.5
2023,01005,4.3
2023,01005,4.6
2023,01005,3.3
2023,01005,3.1
2023,01005,3.7
2023,01005,4.2
2023,01005,4.3
2022,01005,3.5
2022,01005,3.5
2022,01005,4
2022,01005,3.2
2022,01005,3.9
2022,01005,3.8
2022,01005,4
2022,01005,2.8
2022,01005,2.8
2022,01005,3.4
2022,01005,4
2022,01005,4.4
2024,01007,3.2
2024,01007,3.5
2024,01007,3.2
2024,01007,3
2024,01007,3.3
2024,01007,3.4
2024,01007,3.2
2024,01007,2.3
2024,01007,2.2
2024,01007,2.8
2024,01007,3.2
2024,01007,2.9
2023,01007,2.4
2023,01007,2.5
2023,01007,2.4
2023,01007,2.5
2023,01007,2.8
2023,01007,2.7
2023,01007,2.9
2023,01007,2
2023,01007,1.6
2023,01007,1.9
2023,01007,2.5
2023,01007,2.5
2022,01007,2
2022,01007,2.1
2022,01007,2.3
2022,01007,2.4
2022,01007,2.8
2022,01007,2.7
2022,01007,2.8
2022,01007,1.9
2022,01007,1.9
2022,01007,2.2
2022,01007,2.7
2022,01007,2.8
2024,01009,2.8
2024,01009,2.8
2024,01009,2.7
