year,county_fips,local_area_code,local_area_name,city_code,food_insecure_pct,unemployment_rate,supply_gap_lbs,vulnerable_pop,weighted_score,rank
2025,36005,BX0401,Concourse-Concourse Village,nyc,0.262888860837351,0.105381561135316,-102142.62426294,0.565126930906478,5.13309591627623,161
2025,36005,BX0303,Crotona Park East,nyc,0.272400413234306,0.130889716341075,-333492.64867191,0.552228532094304,5.6287942357816,141
2025,36061,MN1102,East Harlem (North),nyc,0.266786682455466,0.105574146897611,527499.52610583,0.472751314422441,5.90883983576242,121
2025,36005,BX0602,Tremont,nyc,0.289584866240738,0.121410982376521,-113652.81465869,0.531750176645879,5.71196328534263,134
2025,36047,BK1204,Mapleton-Midwood (West),nyc,0.168730309836163,0.0564740609204852,451455.520860002,0.609795479009688,5.73160812270385,132
2025,36047,BK0503,East New York-New Lots,nyc,0.204577823158855,0.116611332797995,-506273.12917545,0.505565035290468,5.11041174893704,162
2025,36005,BX0101,Mott Haven-Port Morris,nyc,0.326518799414868,0.144292411722578,611663.47133657,0.526090102172263,6.32951890258863,74
2025,36005,BX1202,Eastchester-Edenwald-Baychester,nyc,0.16958910249721,0.098348492315043,-113911.46111921,0.552486499708356,5.54066298082916,146
2025,36085,SI0302,Great Kills-Eltingville,nyc,0.104192097593969,0.0533104199009259,1091230.79111141,0.450600986590704,6.51795102190116,62
2025,36061,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,nyc,0.132194654431929,0.0409582401264027,1488620.7768,0.529484463276836,6.73965047747035,49
2025,36005,BX1201,Williamsbridge-Olinville,nyc,0.202591928781108,0.0960848543863974,401560.88541765,0.557955587863683,6.02041669769004,106
2025,36061,MN0604,East Midtown-Turtle Bay,nyc,0.127368383089366,0.0592318637239973,1000801.33361314,0.507279182253568,6.52060697161948,61
2025,36047,BK1602,Brownsville,nyc,0.279724602073538,0.139584046195073,478463.71579005,0.521613183000867,6.25906008173344,81
2025,36061,MN0502,Midtown-Times Square,nyc,0.157860332504483,0.0516704310208767,144714.999478159,0.48216319650098,5.46252733013762,149
2025,36047,BK0703,Sunset Park (Central),nyc,0.216634297683794,0.0756168288886942,1305476.96006984,0.762302649801496,7.18786325265179,27
2025,36005,BX0603,Belmont,nyc,0.305805943601508,0.136164076278944,369930.98008093,0.572235563803078,6.40388300840688,68
2025,36005,BX0802,Kingsbridge-Marble Hill,nyc,0.249555297170308,0.0805291723845053,1149186.17394613,0.547463378300091,7.10316863076793,33
2025,36005,BX1003,Pelham Bay-Country Club-City Island,nyc,0.177309026798131,0.0820670514475743,1022815.339499,0.53558648111332,6.8081756538971,45
2025,36061,MN0901,Morningside Heights,nyc,0.209679129021316,0.0937578327373165,183281.64306546,0.467512636899747,5.93042531060169,116
2025,36047,BK0802,Crown Heights (North),nyc,0.188466476694275,0.0864637015567629,-23547.3246267601,0.416832131535862,5.07894805152408,163
2025,36005,BX0302,Claremont Village-Claremont (East),nyc,0.333618387487546,0.142332116624392,32152.70121665,0.504390371761828,6.22782931459377,84
2025,36085,SI0303,Arden Heights-Rossville,nyc,0.0896653633333493,0.0476467837523996,600174.677844235,0.464704201200343,6.04297510641435,100
2025,36047,BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,nyc,0.154108767424627,0.0705818853544769,488191.29092672,0.44418273005496,5.72970583449657,133
2025,36047,BK1303,Brighton Beach,nyc,0.222746101896529,0.0509719210963425,960517.03151223,0.71817199945997,6.56392284566587,58
2025,36005,BX1004,Co-op City,nyc,0.138631207839605,0.0647896397961564,779628.418676589,0.518421411989622,6.30376207899849,77
2025,36081,QN0602,Forest Hills,nyc,0.131688428650739,0.0432549333699161,1029708.81093998,0.548438847115059,6.08351365383986,96
2025,36047,BK0702,Sunset Park (West),nyc,0.180140036996967,0.0547450585723803,808625.08857096,0.571706898903111,6.28290676388013,80
2025,36061,MN0802,Upper East Side-Carnegie Hill,nyc,0.0998946522067021,0.0454494713826626,-267239.2548257,0.570104694609892,4.77142011997786,173
2025,36081,QN0703,Bay Terrace-Clearview,nyc,0.124178499007546,0.0531709192290082,617762.51874879,0.565477462080752,6.11844453104596,92
2025,36061,MN0303,East Village,nyc,0.206834265962872,0.0555197114153715,1537743.68842889,0.362158685610712,6.85453352460258,41
2025,36085,SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,nyc,0.12582748512179,0.0518929531691716,451452.129284963,0.556129261995905,5.80431979608889,128
2025,36047,BK1502,Madison,nyc,0.163411348925547,0.0538026490033107,910007.411086672,0.590984388333919,6.29220932244255,79
2025,36005,BX0102,Melrose,nyc,0.307664468063119,0.152143491759819,-1183933.94646053,0.506249844685768,4.47628077366744,178
2025,36047,BK0204,Clinton Hill,nyc,0.135011227672103,0.0749537425652071,35166.374775185,0.375702917771883,5.77126226663878,129
2025,36047,BK1102,Bath Beach,nyc,0.162995451983137,0.0458848368388488,942381.436912158,0.60899889703497,6.33998068255111,72
2025,36047,BK0301,Bedford-Stuyvesant (West),nyc,0.207374114293961,0.0771066069016745,871913.37333999,0.425066660589348,5.97941221553853,111
2025,36005,BX0801,Kingsbridge Heights-Van Cortlandt Village,nyc,0.225310506317776,0.103966853464594,1444845.00693503,0.586921757334341,7.63937179217273,14
2025,36061,MN0602,Gramercy,nyc,0.124072012746813,0.0303296605324154,507842.027125365,0.349998114843721,5.95683139920434,112
2025,36047,BK0102,Williamsburg,nyc,0.164819201043476,0.0694017772049297,1011421.07761282,0.381054734802616,6.32693035938762,75
2025,36047,BK0402,Bushwick (East),nyc,0.201866135895292,0.0788125001101459,-40369.7071064101,0.433704521134296,5.23432371661445,157
2025,36005,BX0702,Bedford Park,nyc,0.256408372837993,0.135522584358452,685490.71897698,0.61366856880242,6.72406102426013,50
2025,36081,QN1104,Oakland Gardens-Hollis Hills,nyc,0.105686209745759,0.0455582149579281,573885.310129969,0.55818231633332,5.99553465325631,109
2025,36081,QN1401,Far Rockaway-Bayswater,nyc,0.197381007307407,0.0993348817383329,486153.45877199,0.584273242847129,6.11615671692814,93
2025,36081,QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,nyc,0.136354930102033,0.0691387038773027,728457.249977604,0.506217677944021,6.61739123023816,55
2025,36047,BK0101,Greenpoint,nyc,0.157372650600512,0.0741511147577547,1153881.91747087,0.359038417416575,6.81171414262765,44
2025,36081,QN1101,Auburndale,nyc,0.121739404515342,0.0569183967989518,896800.029996218,0.601129748112283,6.45403505635939,64
2025,36081,QN0601,Rego Park,nyc,0.15734868921635,0.0584005297500501,787641.811453798,0.601220338983051,6.29571882879845,78
2025,36081,QN1003,Howard Beach-Lindenwood,nyc,0.129557797353376,0.0831625607513716,778373.528126481,0.542071405596655,6.56652083606323,57
2025,36005,BX0903,Castle Hill-Unionport,nyc,0.215275023866786,0.0875873920190845,347937.7932147,0.552516650289333,6.05232799732705,99
2025,36081,QN0202,Sunnyside,nyc,0.159101453752862,0.0644191450545096,-105498.50887842,0.578462121371587,5.34386152299883,154
2025,36081,QN0702,Whitestone-Beechhurst,nyc,0.132646535988435,0.0871110677674794,808755.543930184,0.548544535471501,6.66190737136034,54
2025,36061,MN0803,Upper East Side-Yorkville,nyc,0.131210087674052,0.0476412468061983,1066124.73854754,0.463495883470551,6.20816130945579,88
2025,36081,QN1103,Douglaston-Little Neck,nyc,0.106756879632496,0.0497372966455086,493759.051208256,0.542113083600532,5.93571103192006,115
2025,36081,QN1301,Glen Oaks-Floral Park-New Hyde Park,nyc,0.117038700956302,0.0387238874820224,552168.537574376,0.619564266340012,5.89707362935773,122
2025,36047,BK0104,East Williamsburg,nyc,0.213368842904282,0.0739652789015391,1224484.03196005,0.420086643716397,6.8329836262222,43
2025,36047,BK1704,East Flatbush-Remsen Village,nyc,0.188174278403007,0.11830204015276,-979114.69227613,0.543899190656695,4.73390906028034,174
2025,36061,MN0203,West Village,nyc,0.135733910462781,0.0741453252739923,605981.189659805,0.371394304692786,6.22559569874833,85
2025,36061,MN0601,Stuyvesant Town-Peter Cooper Village,nyc,0.146728511933205,0.0420812913157902,490267.23296912,0.469562445931794,6.04240323303751,101
2025,36081,QN0302,East Elmhurst,nyc,0.145113953646171,0.0596989829328098,-23285.418190612,0.61237491901231,5.55546272086824,143
2025,36081,QN0901,Kew Gardens,nyc,0.138352622005081,0.0616565589656798,346123.541401487,0.504278403275333,5.83075857264001,126
2025,36061,MN0202,Greenwich Village,nyc,0.116356265915322,0.0574423456520575,519331.168772581,0.377383634229146,6.21272153494913,87
2025,36085,SI0107,Mariner's Harbor-Arlington-Graniteville,nyc,0.148039072379052,0.0834685209289287,785018.737638609,0.481835913690113,6.74812670226831,48
2025,36047,BK1201,Sunset Park (East)-Borough Park (West),nyc,0.221370127757889,0.0940639468941064,1197562.98786803,0.730984684130428,7.32859709815417,23
2025,36085,SI0101,St. George-New Brighton,nyc,0.201762306334152,0.0846602520072986,146216.825929215,0.485092707045735,5.99819322538523,108
2025,36061,MN0101,Financial District-Battery Park City,nyc,0.110831941542347,0.0350446731400082,497711.076648413,0.344902073732719,5.62931347774941,140
2025,36081,QN1001,South Ozone Park,nyc,0.140301874584429,0.0969598670079343,551136.10054515,0.550016050571647,6.33243241886826,73
2025,36005,BX0402,Highbridge,nyc,0.258546522447033,0.0845524401379293,839986.799227597,0.521773455016263,6.60961794331726,56
2025,36061,MN0402,Hell's Kitchen,nyc,0.170209054747567,0.0537010290187069,1230494.1809353,0.411329023378787,6.53051108458052,60
2025,36047,BK0505,East New York-City Line,nyc,0.180124928078669,0.0633564217254166,-2231394.17576234,0.517002250745179,2.45259679454699,191
2025,36081,QN0103,Astoria (Central),nyc,0.160661856789053,0.0647956531456774,1399350.54925385,0.404083422057995,6.96580579426652,38
2025,36047,BK0201,Brooklyn Heights,nyc,0.100522500589984,0.0407405028499482,322651.410235809,0.435635226179018,5.63712513480505,139
2025,36005,BX0703,Norwood,nyc,0.246762651573482,0.0912919270893144,330347.81439255,0.594330796267732,6.00279582662779,107
2025,36061,MN0302,Lower East Side,nyc,0.209622740431777,0.0647306912675013,740167.495815,0.47365909731711,6.1949715758589,90
2025,36061,MN0702,Upper West Side (Central),nyc,0.126728683516072,0.039021628289887,1012558.71411999,0.512680574610604,5.95647683778292,113
2025,36081,QN0104,Astoria (East)-Woodside (North),nyc,0.169978099901224,0.0805494208852637,1005084.90302748,0.495304727195339,6.70947426815157,52
2025,36005,BX1002,Throgs Neck-Schuylerville,nyc,0.165879319724867,0.0746247464491897,1379134.20466646,0.472266146421604,6.98213524405173,37
2025,36081,QN0102,Old Astoria-Hallets Point,nyc,0.199761937048582,0.0757315464222939,285730.857931088,0.487077241175602,5.94774867203353,114
2025,36081,QN0704,Murray Hill-Broadway Flushing,nyc,0.157114760477983,0.0521407463389015,1582986.12822155,0.666889483065954,7.11643627565495,31
2025,36085,SI0202,New Dorp-Midland Beach,nyc,0.121280947513643,0.0620723365542174,739392.566019714,0.542606559055387,6.32479629932073,76
2025,36047,BK0902,Prospect Lefferts Gardens-Wingate,nyc,0.160389389920406,0.068996587690215,-238489.9939784,0.465596229241003,5.14947423963706,160
2025,36047,BK1002,Dyker Heights,nyc,0.176064591235995,0.0708693233756313,1173132.89759046,0.614666567097304,6.79900641012328,46
2025,36047,BK1501,Gravesend (East)-Homecrest,nyc,0.183158583438564,0.0806111639901922,1577147.81567521,0.59260054666146,7.27397856049487,24
2025,36005,BX0701,University Heights (North)-Fordham,nyc,0.279462602905241,0.160734322384342,538924.72967146,0.618879069348003,6.84912790059717,42
2025,36005,BX0904,Parkchester,nyc,0.2121294129287,0.108083888135315,1083638.59857437,0.549319841854855,7.07131622230031,34
2025,36081,QN0804,Jamaica Estates-Holliswood,nyc,0.135188212565952,0.0778433342279156,481473.217384359,0.576181351164023,6.4040476104529,67
2025,36047,BK1103,Gravesend (West),nyc,0.19397392683471,0.0907520730498772,1604463.67110222,0.627049106902915,7.36904835746838,20
2025,36081,QN0803,Fresh Meadows-Utopia,nyc,0.120431363981911,0.0432359569315851,515718.061356106,0.565409560413164,5.90963328493894,120
2025,36081,QN1306,Springfield Gardens (South)-Brookville,nyc,0.0958806883690467,0.0705267799327111,-151097.67421373,0.464846778471457,5.58444543980992,142
