year,fips,state_fips,county_fips,edu_universe_25_plus,no_schooling,high_school_diploma,ged,associates_degree,bachelors_degree,masters_degree,professional_degree,doctorate_degree
2014,01003,01,003,140588,1484,29947,5913,13416,28128,11223,2743,770
2014,01015,01,015,79002,1039,21073,3489,6176,9496,3929,761,669
2014,01043,01,043,55841,661,16727,5199,5507,5193,2054,688,125
2014,01049,01,049,47125,1978,11890,2705,3373,3520,1375,400,415
2014,01051,01,051,53616,151,14580,5915,4882,7601,3044,1133,406
2014,01055,01,055,71479,714,18712,4745,5789,7237,3394,840,499
2014,01069,01,069,70549,1322,18800,3909,5673,9372,3000,905,395
2014,01073,01,073,447263,3921,107010,18644,34818,81343,33140,15055,6939
2014,01077,01,077,63180,797,17126,4280,3668,8163,4637,777,1157
2014,01081,01,081,90584,406,18165,5206,7406,17003,7371,1715,2622
2014,01083,01,083,62164,987,15654,4924,3719,9395,3739,479,665
2014,01089,01,089,237502,2738,39976,8117,21661,58742,25163,3582,3779
2014,01095,01,095,63015,1555,17475,4125,4577,7047,2926,625,317
2014,01097,01,097,275657,4369,78211,14834,21521,38378,13622,3400,2494
2014,01101,01,101,147560,1816,31364,7937,10209,26741,12918,3232,2006
2014,01103,01,103,81480,1213,19975,4835,6189,10543,3915,995,422
2014,01115,01,115,59680,486,17345,4699,5827,6504,2474,264,212
2014,01117,01,117,139530,1139,27313,4392,8681,37504,13759,3405,1852
2014,01121,01,121,55498,1112,17225,4736,4019,4525,1780,420,175
2014,01125,01,125,121579,1392,33425,5058,9709,21328,8054,1592,2745
2014,01127,01,127,45715,710,12961,3213,3957,3156,1798,435,118
2014,02020,02,020,189989,1933,38957,8075,16075,39501,16088,3946,2200
2014,02090,02,090,59230,207,10799,2586,4513,12968,5622,902,856
2014,02170,02,170,61747,529,15543,3441,6548,8378,3526,636,418
2014,04001,04,001,43363,2335,13156,1634,2868,2633,1609,97,28
2014,04003,04,003,87809,1373,14371,4554,10434,14110,5762,1191,716
2014,04005,04,005,80598,1468,13083,3374,7851,18547,7623,798,1373
2014,04013,04,013,2668992,38579,518499,94719,224059,513598,212761,49815,31067
2014,04015,04,015,150906,2258,43933,7686,11388,13320,4072,1427,718
2014,04017,04,017,67618,1608,16609,2638,5438,6727,2885,333,176
2014,04019,04,019,661359,9576,125885,26037,59447,116664,57863,14818,14133
2014,04021,04,021,273109,2331,64786,21428,24044,29976,12982,1240,2442
2014,04025,04,025,165322,1189,34979,6978,15183,25292,11878,3122,1905
2014,04027,04,027,126775,3319,27060,5526,8161,10541,5189,1149,250
2014,05007,05,007,158081,1196,38890,8206,8774,31471,12350,1913,1111
2014,05031,05,031,65416,499,16413,3757,4140,8846,5341,1005,615
2014,05045,05,045,72965,691,19870,4261,6125,13283,4690,857,1107
2014,05051,05,051,67961,461,19560,4212,4619,8288,4854,1200,676
2014,05069,05,069,48115,262,17388,2364,2780,4943,2030,474,449
2014,05085,05,085,46648,404,11740,2461,4637,6867,1601,604,120
2014,05119,05,119,263978,2440,60983,9348,17374,57107,19867,6674,5185
2014,05125,05,125,79225,669,23877,3707,5071,11372,3490,958,1097
2014,05131,05,131,82877,1651,22703,4445,6248,10792,3676,942,1236
2014,05143,05,143,131961,2166,33243,5730,6750,22647,9596,3614,2506
2014,05145,05,145,50491,405,14596,3545,4631,6784,2577,376,801
2014,06001,06,001,1117677,25424,188452,17285,77538,274686,142190,31483,29810
2014,06007,06,007,144423,1576,28997,5290,14926,25519,8957,3175,1433
2014,06013,06,013,755411,12634,125560,18143,61758,192565,73656,20702,12878
2014,06017,06,017,129762,897,26144,3606,13103,25057,9528,3650,2066
2014,06019,06,019,580815,27771,118217,16660,49821,76828,24395,7450,5520
2014,06023,06,023,91258,923,20012,3727,8163,16879,6026,1676,885
2014,06025,06,025,107270,6040,18796,4863,5921,11234,3525,901,216
2014,06029,06,029,520351,15248,125274,18873,34833,54752,18203,4802,2422
2014,06031,06,031,90211,3370,17835,4672,7615,7417,1858,974,102
2014,06033,06,033,46292,743,10810,2286,5936,4880,2120,701,495
2014,06037,06,037,6751214,232501,1298227,109033,456004,1342633,469395,151037,84602
2014,06039,06,039,95615,3583,22561,3268,6894,7786,2128,1066,706
2014,06041,06,041,190190,947,21110,2947,13287,56378,30225,12469,5945
2014,06045,06,045,61816,916,14369,3279,4942,10544,3221,967,131
2014,06047,06,047,155212,5941,34727,6362,11153,14120,5282,992,1134
2014,06053,06,053,271489,7218,49351,10429,22593,35793,17883,5264,3698
2014,06055,06,055,98179,1792,16143,2554,8369,21673,6880,2672,1883
2014,06057,06,057,74529,284,13159,1289,8271,15891,6767,2330,1253
2014,06059,06,059,2109346,45368,334156,35663,165460,514838,191887,60727,33165
2014,06061,06,061,257176,1686,41789,4987,30265,63891,20861,5643,3507
2014,06065,06,065,1471627,36703,345969,43846,111337,194840,79252,19565,11467
2014,06067,06,067,979051,26536,191265,28815,96492,185871,62607,22270,11998
2014,06071,06,071,1298033,26389,304048,43080,104305,156881,64657,14512,9102
2014,21227,21,227,74423,1102,18573,4832,5792,11534,5585,1387,701
2014,22005,22,005,74451,698,18964,4116,5932,15113,5296,860,135
2014,22015,22,015,81147,474,20974,4292,7007,12463,4906,1458,601
2014,22017,22,017,167702,2248,47646,8237,8550,25528,8120,2916,1420
2014,22019,22,019,128977,2343,39378,4498,9788,17978,6821,1205,664
2014,22033,22,033,279291,2338,70964,6800,15333,60093,23091,6540,5780
2014,22045,22,045,47424,475,14651,3499,1989,4412,1257,194,308
2014,22051,22,051,303171,3743,80327,13842,17232,50981,15365,6145,2964
2014,22055,22,055,153724,1047,36272,5206,9577,34181,8660,2747,1740
2014,22057,22,057,64769,1054,21044,4454,2964,6899,2434,428,485
2014,22063,22,063,87472,1643,26616,6829,3767,10603,2527,1275,415
2014,22071,22,071,266487,2462,58947,6927,10713,54841,24883,10862,5453
2014,22073,22,073,99866,921,26632,6072,3854,17409,6638,1152,581
2014,22079,22,079,86292,1132,27545,6625,4098,10362,3664,1417,432
2014,22097,22,097,53301,1039,20301,1912,2915,4343,1326,362,232
2014,22103,22,103,165887,898,35509,7030,9296,35157,12625,3355,2589
2014,22105,22,105,80389,1074,26822,4872,2979,10545,3768,469,968
2014,22109,22,109,73422,712,24402,6454,2860,7304,1733,466,370
2014,23001,23,001,74813,361,22783,5692,7622,12614,3353,656,538
2014,23003,23,003,50780,1095,17244,2809,5335,5930,1931,635,201
2014,23005,23,005,206325,875,39637,5724,18218,60582,23623,6492,4308
2014,23011,23,011,87206,769,24680,4493,8241,12615,6131,1023,850
2014,23019,23,019,107218,847,29570,5394,11043,17928,6025,1354,1581
