state_fips,county_fips,fips,name
49,005,49005,"Cache County, Utah"
49,011,49011,"Davis County, Utah"
49,035,49035,"Salt Lake County, Utah"
49,049,49049,"Utah County, Utah"
49,053,49053,"Washington County, Utah"
49,057,49057,"Weber County, Utah"
50,007,50007,"Chittenden County, Vermont"
51,003,51003,"Albemarle County, Virginia"
51,013,51013,"Arlington County, Virginia"
51,015,51015,"Augusta County, Virginia"
51,019,51019,"Bedford County, Virginia"
51,041,51041,"Chesterfield County, Virginia"
51,059,51059,"Fairfax County, Virginia"
51,061,51061,"Fauquier County, Virginia"
51,069,51069,"Frederick County, Virginia"
51,085,51085,"Hanover County, Virginia"
51,087,51087,"Henrico County, Virginia"
51,095,51095,"James City County, Virginia"
51,107,51107,"Loudoun County, Virginia"
51,121,51121,"Montgomery County, Virginia"
51,153,51153,"Prince William County, Virginia"
51,161,51161,"Roanoke County, Virginia"
51,165,51165,"Rockingham County, Virginia"
51,177,51177,"Spotsylvania County, Virginia"
51,179,51179,"Stafford County, Virginia"
51,199,51199,"York County, Virginia"
51,510,51510,"Alexandria city, Virginia"
51,550,51550,"Chesapeake city, Virginia"
51,650,51650,"Hampton city, Virginia"
51,680,51680,"Lynchburg city, Virginia"
51,700,51700,"Newport News city, Virginia"
51,710,51710,"Norfolk city, Virginia"
51,740,51740,"Portsmouth city, Virginia"
51,760,51760,"Richmond city, Virginia"
51,770,51770,"Roanoke city, Virginia"
51,800,51800,"Suffolk city, Virginia"
51,810,51810,"Virginia Beach city, Virginia"
53,005,53005,"Benton County, Washington"
53,007,53007,"Chelan County, Washington"
53,009,53009,"Clallam County, Washington"
53,011,53011,"Clark County, Washington"
53,015,53015,"Cowlitz County, Washington"
53,021,53021,"Franklin County, Washington"
53,025,53025,"Grant County, Washington"
53,027,53027,"Grays Harbor County, Washington"
53,029,53029,"Island County, Washington"
53,033,53033,"King County, Washington"
53,035,53035,"Kitsap County, Washington"
53,041,53041,"Lewis County, Washington"
53,053,53053,"Pierce County, Washington"
53,057,53057,"Skagit County, Washington"
53,061,53061,"Snohomish County, Washington"
53,063,53063,"Spokane County, Washington"
53,067,53067,"Thurston County, Washington"
53,073,53073,"Whatcom County, Washington"
53,077,53077,"Yakima County, Washington"
54,003,54003,"Berkeley County, West Virginia"
54,011,54011,"Cabell County, West Virginia"
54,033,54033,"Harrison County, West Virginia"
54,039,54039,"Kanawha County, West Virginia"
54,061,54061,"Monongalia County, West Virginia"
54,081,54081,"Raleigh County, West Virginia"
54,107,54107,"Wood County, West Virginia"
55,009,55009,"Brown County, Wisconsin"
55,025,55025,"Dane County, Wisconsin"
55,027,55027,"Dodge County, Wisconsin"
55,035,55035,"Eau Claire County, Wisconsin"
55,039,55039,"Fond du Lac County, Wisconsin"
55,055,55055,"Jefferson County, Wisconsin"
55,059,55059,"Kenosha County, Wisconsin"
55,063,55063,"La Crosse County, Wisconsin"
55,071,55071,"Manitowoc County, Wisconsin"
55,073,55073,"Marathon County, Wisconsin"
55,079,55079,"Milwaukee County, Wisconsin"
55,087,55087,"Outagamie County, Wisconsin"
55,089,55089,"Ozaukee County, Wisconsin"
