year,fips,state_fips,county_fips,total_housing_units,occupied_units,vacant_units,owner_occupied,renter_occupied,median_home_value,median_gross_rent,median_rent_pct_income,housing_cost_universe,owner_cost_universe,renter_cost_universe
2014,01003,01,003,107384,71307,36077,51657,19650,180100,857,30.9,71307,51657,19650
2014,01015,01,015,53287,46087,7200,31712,14375,106500,598,33.0,46087,31712,14375
2014,01043,01,043,37144,30424,6720,22670,7754,109100,616,32.4,30424,22670,7754
2014,01049,01,049,31044,24720,6324,17702,7018,90500,518,24.5,24720,17702,7018
2014,01051,01,051,33320,28352,4968,22556,5796,150300,749,28.0,28352,22556,5796
2014,01055,01,055,47502,39714,7788,27078,12636,99700,668,29.6,39714,27078,12636
2014,01069,01,069,46455,38825,7630,25392,13433,117100,709,30.3,38825,25392,13433
2014,01073,01,073,305055,261980,43075,161323,100657,142500,831,32.2,261980,161323,100657
2014,01077,01,077,44348,38093,6255,25928,12165,114000,600,29.2,38093,25928,12165
2014,01081,01,081,65570,57880,7690,33558,24322,156000,748,43.0,57880,33558,24322
2014,01083,01,083,35451,31638,3813,23727,7911,143100,613,28.5,31638,23727,7911
2014,01089,01,089,154464,140771,13693,96158,44613,171600,742,30.9,140771,96158,44613
2014,01095,01,095,40333,34872,5461,23474,11398,106400,571,26.7,34872,23474,11398
2014,01097,01,097,181618,153450,28168,100101,53349,120700,822,33.5,153450,100101,53349
2014,01101,01,101,103434,89415,14019,52186,37229,125400,820,28.8,89415,52186,37229
2014,01103,01,103,51500,45016,6484,30778,14238,120900,612,28.3,45016,30778,14238
2014,01115,01,115,35850,32267,3583,24376,7891,128500,684,27.0,32267,24376,7891
2014,01117,01,117,83495,75714,7781,59130,16584,191700,936,27.6,75714,59130,16584
2014,01121,01,121,37175,30649,6526,22176,8473,92800,602,29.0,30649,22176,8473
2014,01125,01,125,87795,68320,19475,43484,24836,154800,822,32.3,68320,43484,24836
2014,01127,01,127,30673,25211,5462,18414,6797,78900,557,30.8,25211,18414,6797
2014,02020,02,020,114320,104683,9637,61152,43531,289400,1251,31.8,104683,61152,43531
2014,02090,02,090,41690,35692,5998,20183,15509,237400,1232,33.3,35692,20183,15509
2014,02170,02,170,41311,30766,10545,23317,7449,227000,1058,28.2,30766,23317,7449
2014,04001,04,001,32657,18766,13891,13936,4830,82900,446,15.7,18766,13936,4830
2014,04003,04,003,60506,47653,12853,31958,15695,144800,783,29.0,47653,31958,15695
2014,04005,04,005,64215,46919,17296,28322,18597,227500,969,31.7,46919,28322,18597
