year,fips,state_fips,county_fips,poverty_universe,below_poverty_level,snap_universe,snap_received,snap_not_received,families_poverty_universe,families_below_poverty,poverty_by_age_universe,poverty_by_age_below,ratio_income_poverty_universe,ratio_under_0_50,ratio_0_50_to_0_99,ratio_1_00_to_1_24,ratio_1_25_to_1_49,ratio_1_50_to_1_84,ratio_1_85_to_1_99
2014,01003,01,003,196847,25019,71307,4994,66313,47040,4741,196847,25019,196847,12175,12844,12451,7546,11172,5627
2014,01015,01,015,112791,23233,46087,8028,38059,31710,5746,112791,23233,112791,10476,12757,6665,5207,8833,4651
2014,01043,01,043,80002,13920,30424,3718,26706,,,80002,13920,80002,4128,9792,4985,5064,9018,2266
2014,01049,01,049,70170,18209,24720,5073,19647,,,70170,18209,70170,8345,9864,4920,4254,4430,1036
2014,01051,01,051,76264,11054,28352,3375,24977,,,76264,11054,76264,3829,7225,3867,3158,3253,2491
2014,01055,01,055,101848,18729,39714,6215,33499,26853,3392,101848,18729,101848,6378,12351,8120,6786,6223,3428
2014,01069,01,069,103159,20994,38825,6117,32708,24949,3938,103159,20994,103159,9229,11765,7071,6327,7516,3721
2014,01073,01,073,645501,126309,261980,41910,220070,164822,27102,645501,126309,645501,56189,70120,35870,29297,43370,15820
2014,01077,01,077,91003,17662,38093,6033,32060,24217,3470,91003,17662,91003,8066,9596,3617,6337,7829,2319
2014,01081,01,081,148624,41214,57880,7747,50133,36806,6025,148624,41214,148624,24486,16728,6541,9193,7648,2730
2014,01083,01,083,87905,11762,31638,4599,27039,,,87905,11762,87905,4109,7653,3024,4205,3733,4315
2014,01089,01,089,341443,49873,140771,16803,123968,92668,10399,341443,49873,341443,22988,26885,16721,11643,17247,5875
2014,01095,01,095,93431,22259,34872,6448,28424,24220,4519,93431,22259,93431,7073,15186,8871,5978,6137,4529
2014,01097,01,097,403839,78117,153450,26675,126775,104330,15750,403839,78117,403839,32936,45181,24971,20080,28151,12723
2014,01101,01,101,219112,48899,89415,16939,72476,56298,10302,219112,48899,219112,23057,25842,10549,12245,17210,7070
2014,01103,01,103,117787,16619,45016,6866,38150,30372,3575,117787,16619,117787,6636,9983,6746,7939,9376,1432
2014,01115,01,115,85043,12065,32267,4638,27629,,,85043,12065,85043,4693,7372,4011,2529,9610,3284
2014,01117,01,117,203216,21086,75714,4481,71233,53738,3993,203216,21086,203216,6923,14163,9468,6907,9112,4114
2014,01121,01,121,77770,18136,30649,6488,24161,20960,4183,77770,18136,77770,6419,11717,3577,6526,5841,4056
2014,01125,01,125,192066,33681,68320,7182,61138,46215,5738,192066,33681,192066,15191,18490,8479,11849,10829,6103
2014,01127,01,127,64260,16225,25211,4631,20580,18081,3970,64260,16225,64260,5484,10741,3433,3115,3678,3287
2014,02020,02,020,293222,28468,104683,8652,96031,70710,4692,293222,28468,293222,10885,17583,11689,9345,11499,5171
2014,02090,02,090,95425,9417,35692,2226,33466,23679,1764,95425,9417,95425,4881,4536,3551,3606,3435,1854
2014,02170,02,170,95625,10130,30766,3594,27172,21408,1498,95625,10130,95625,4103,6027,2676,3897,4798,1320
2014,04001,04,001,69630,23416,18766,4839,13927,12770,3389,69630,23416,69630,14310,9106,6388,6497,5892,1618
2014,04003,04,003,119430,21990,47653,7224,40429,31858,4846,119430,21990,119430,9644,12346,8460,6134,9289,3518
2014,04005,04,005,126736,28053,46919,7639,39280,30532,4628,126736,28053,126736,15045,13008,9533,4940,8203,3543
2014,04013,04,013,4032398,691157,1458064,167148,1290916,946281,117512,4032398,691157,4032398,323792,367365,203755,178068,262854,111104
2014,04015,04,015,199004,41027,81292,13319,67973,52263,7381,199004,41027,199004,16730,24297,14933,13824,17605,8530
2014,04017,04,017,104802,30175,33236,9383,23853,22452,5392,104802,30175,104802,15812,14363,7820,5457,9996,5401
2014,04019,04,019,974855,184248,389737,56250,333487,237515,30958,974855,184248,974855,83705,100543,56064,52697,72446,23434
2014,04021,04,021,373858,66919,132176,16851,115325,93777,11609,373858,66919,373858,35886,31033,21486,13189,32562,15729
2014,04025,04,025,215028,33346,90584,9351,81233,58100,6042,215028,33346,215028,15785,17561,9638,11065,18656,8582
2014,04027,04,027,197775,44271,70593,14908,55685,54310,10815,197775,44271,197775,14865,29406,17686,9868,22840,6424
2014,05007,05,007,239736,29351,86232,6427,79805,64058,6032,239736,29351,239736,12888,16463,12174,13627,15619,6448
2014,05031,05,031,99361,24499,38548,6330,32218,25366,4411,99361,24499,99361,9113,15386,6205,4247,7230,4181
2014,05045,05,045,116244,17571,42782,5464,37318,28348,2801,116244,17571,116244,8378,9193,7127,5435,10035,2429
2014,05051,05,051,95726,18064,39045,5550,33495,24259,2508,95726,18064,95726,6876,11188,9046,4182,4953,2185
2014,05069,05,069,67049,18390,28494,6378,22116,17053,3311,67049,18390,67049,6980,11410,4400,3402,3838,2097
2014,05085,05,085,70671,8661,26688,2464,24224,,,70671,8661,70671,3427,5234,3005,2124,3509,1780
2014,05119,05,119,387226,61580,152045,16986,135059,91414,10054,387226,61580,387226,25694,35886,22466,19383,30712,10843
2014,05125,05,125,114158,7945,41587,4065,37522,30886,1728,114158,7945,114158,2732,5213,3129,7696,10507,4661
2014,05131,05,131,124495,30551,48779,7457,41322,32566,6206,124495,30551,124495,10968,19583,6701,6087,8094,4606
2014,05143,05,143,213233,43468,81600,7397,74203,48383,6383,213233,43468,213233,17085,26383,10405,12789,20688,5284
2014,05145,05,145,74665,15785,29146,3941,25205,20922,3661,74665,15785,74665,5490,10295,3756,4579,5260,3062
2014,06001,06,001,1583652,197423,563601,40400,523201,376874,30760,1583652,197423,1583652,88992,108431,58346,59155,84686,31711
2014,06007,06,007,218628,48757,85366,9479,75887,48522,5787,218628,48757,218628,22862,25895,12177,13155,17138,6450
2014,06013,06,013,1101741,115995,387936,25290,362646,274585,19632,1101741,115995,1101741,54502,61493,34623,40011,55983,25368
2014,06017,06,017,181670,22918,65804,5005,60799,44999,3847,181670,22918,181670,8482,14436,5965,7076,11223,1738
2014,06019,06,019,949344,263220,297993,62499,235494,216377,47977,949344,263220,949344,117688,145532,65817,63340,78981,23409
2014,06023,06,023,131867,27977,53195,6110,47085,29682,3431,131867,27977,131867,11281,16696,8802,8797,11643,5340
2014,06025,06,025,169586,40249,43635,7775,35860,33902,6509,169586,40249,169586,18671,21578,11050,12861,15197,7455
2014,06029,06,029,841935,208388,261135,47771,213364,197859,39386,841935,208388,841935,80309,128079,57410,56614,60979,24080
2014,06031,06,031,133732,35623,41596,7884,33712,32268,7189,133732,35623,133732,16131,19492,7960,7995,16030,2750
2014,06033,06,033,63228,16350,27636,2333,25303,,,63228,16350,63228,6054,10296,3150,5437,5431,1817
2014,06037,06,037,9964447,1860890,3269112,305966,2963146,2186123,323256,9964447,1860890,9964447,746087,1114803,594845,580632,741144,283555
2014,06039,06,039,146331,32432,42895,8717,34178,33261,6210,146331,32432,146331,14683,17749,14635,8120,11885,5598
2014,06041,06,041,254749,22395,103509,4188,99321,61577,3014,254749,22395,254749,12083,10312,4295,7257,9431,7564
2014,06045,06,045,86129,15939,33464,4787,28677,19465,2474,86129,15939,86129,8803,7136,6405,6033,7307,2074
2014,06047,06,047,259607,65405,79255,16890,62365,61808,13188,259607,65405,259607,26234,39171,23647,14879,25232,12939
2014,06053,06,053,413762,71246,123920,8822,115098,89865,12370,413762,71246,413762,22495,48751,24948,32436,36841,15054
2014,06055,06,055,138245,11439,50516,2349,48167,35517,2025,138245,11439,138245,5296,6143,5534,6274,9265,3392
2014,06057,06,057,97956,10445,40186,2948,37238,,,97956,10445,97956,4445,6000,3124,3877,6956,4176
2014,06059,06,059,3108399,398986,1018862,68093,950769,738178,66778,3108399,398986,3108399,165958,233028,136946,121632,183697,76723
2014,06061,06,061,367763,31171,136239,5934,130305,94038,5254,367763,31171,367763,16395,14776,13023,10090,17547,5458
2014,06065,06,065,2296989,392581,700584,77815,622769,516981,68694,2296989,392581,2296989,159065,233516,115369,129731,164873,70370
2014,06067,06,067,1458671,265629,523353,63373,459980,347539,46543,1458671,265629,1458671,112260,153369,80411,68440,89458,43338
2014,06071,06,071,2053110,422111,617066,99760,517306,463695,75367,2053110,422111,2053110,184399,237712,111063,127668,170621,61283
2014,06073,06,073,3183055,467054,1100858,75928,1024930,743988,79414,3183055,467054,3183055,225580,241474,137136,145727,191989,89089
2014,06075,06,075,838424,100906,353406,15301,338105,162498,10559,838424,100906,838424,48715,52191,29253,27510,39698,14517
2014,06077,06,077,703015,146601,221874,33519,188355,161489,27548,703015,146601,703015,58693,87908,36928,47482,49916,17989
2014,06079,06,079,263065,38967,102645,5881,96764,64404,4618,263065,38967,263065,19590,19377,10016,12497,16963,6561
2014,06081,06,081,752109,55272,257473,9983,247490,175767,7259,752109,55272,752109,25610,29662,19440,27620,32776,13084
2014,06083,06,083,421761,75819,142912,11653,131259,91819,10356,421761,75819,421761,35696,40123,19975,23748,31015,16954
2014,06085,06,085,1864887,156964,622068,31563,590505,444289,23979,1864887,156964,1864887,78923,78041,59323,60902,89469,34433
2014,06087,06,087,261425,43927,96127,7641,88486,61600,5523,261425,43927,261425,20666,23261,11413,13525,16616,5784
2014,06089,06,089,177388,24419,68542,5237,63305,42525,3084,177388,24419,177388,12362,12057,10974,9022,16532,6839
2014,06095,06,095,421821,52028,145313,12975,132338,106564,10194,421821,52028,421821,22469,29559,14421,18696,29240,9023
2014,06097,06,097,494238,55638,190875,12418,178457,121602,7924,494238,55638,494238,24970,30668,24619,16543,33688,10287
2014,06099,06,099,526121,94586,169038,27147,141891,124508,18754,526121,94586,526121,44991,49595,42923,35332,39264,12360
